"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
260,2059951671,10,-16,16,0,16,0,-16,10,20,10
261,2059952046,10,-16,16,0,16,0,-16,10,20,20
262,2059952374,10,-16,16,0,16,0,-16,20,0,0
263,2059952702,10,-16,16,0,16,0,-16,20,0,10
264,2059953093,10,-16,16,0,16,0,-16,20,0,20
265,2059953499,10,-16,16,0,16,0,-16,20,10,0
266,2059953812,10,-16,16,0,16,0,-16,20,10,10
267,2059954234,10,-16,16,0,16,0,-16,20,10,20
268,2059954546,10,-16,16,0,16,0,-16,20,20,0
269,2059954937,10,-16,16,0,16,0,-16,20,20,10
270,2059955265,10,-16,16,0,16,0,-16,20,20,20
271,2059955593,10,-16,16,0,16,10,-16,0,0,0
272,2059955952,10,-16,16,0,16,10,-16,0,0,10
273,2059956343,10,-16,16,0,16,10,-16,0,0,20
274,2059956749,10,-16,16,0,16,10,-16,0,10,0
275,2059957062,10,-16,16,0,16,10,-16,0,10,10
276,2059957452,10,-16,16,0,16,10,-16,0,10,20
277,2059957812,10,-16,16,0,16,10,-16,0,20,0
278,2059958202,10,-16,16,0,16,10,-16,0,20,10
279,2059958515,10,-16,16,0,16,10,-16,0,20,20
280,2059958890,10,-16,16,0,16,10,-16,10,0,0
281,2059959202,10,-16,16,0,16,10,-16,10,0,10
282,2059959484,10,-16,16,0,16,10,-16,10,0,20
283,2059960084,10,-16,16,0,16,10,-16,10,10,0
284,2059960459,10,-16,16,0,16,10,-16,10,10,10
285,2059960772,10,-16,16,0,16,10,-16,10,10,20
286,2059961115,10,-16,16,0,16,10,-16,10,20,0
287,2059961475,10,-16,16,0,16,10,-16,10,20,10
288,2059961709,10,-16,16,0,16,10,-16,10,20,20
289,2059962037,10,-16,16,0,16,10,-16,20,0,0
290,2059962365,10,-16,16,0,16,10,-16,20,0,10
291,2059962818,10,-16,16,0,16,10,-16,20,0,20
292,2059963271,10,-16,16,0,16,10,-16,20,10,0
293,2059963600,10,-16,16,0,16,10,-16,20,10,10
294,2059963990,10,-16,16,0,16,10,-16,20,10,20
295,2059964397,10,-16,16,0,16,10,-16,20,20,0
296,2059964662,10,-16,16,0,16,10,-16,20,20,10
297,2059964975,10,-16,16,0,16,10,-16,20,20,20
298,2059965334,10,-16,16,0,16,20,-16,0,0,0
299,2059965709,10,-16,16,0,16,20,-16,0,0,10
300,2059966037,10,-16,16,0,16,20,-16,0,0,20
301,2059966428,10,-16,16,0,16,20,-16,0,10,0
302,2059966772,10,-16,16,0,16,20,-16,0,10,10
303,2059967131,10,-16,16,0,16,20,-16,0,10,20
304,2059967521,10,-16,16,0,16,20,-16,0,20,0
305,2059967928,10,-16,16,0,16,20,-16,0,20,10
306,2059968256,10,-16,16,0,16,20,-16,0,20,20
307,2059968693,10,-16,16,0,16,20,-16,10,0,0
308,2059969084,10,-16,16,0,16,20,-16,10,0,10
309,2059969428,10,-16,16,0,16,20,-16,10,0,20
310,2059969787,10,-16,16,0,16,20,-16,10,10,0
311,2059970115,10,-16,16,0,16,20,-16,10,10,10
312,2059970537,10,-16,16,0,16,20,-16,10,10,20
313,2059970803,10,-16,16,0,16,20,-16,10,20,0
314,2059971225,10,-16,16,0,16,20,-16,10,20,10
315,2059971678,10,-16,16,0,16,20,-16,10,20,20
316,2059972006,10,-16,16,0,16,20,-16,20,0,0
317,2059972428,10,-16,16,0,16,20,-16,20,0,10
318,2059972787,10,-16,16,0,16,20,-16,20,0,20
319,2059973147,10,-16,16,0,16,20,-16,20,10,0
320,2059973428,10,-16,16,0,16,20,-16,20,10,10
321,2059973787,10,-16,16,0,16,20,-16,20,10,20
322,2059974084,10,-16,16,0,16,20,-16,20,20,0
323,2059974443,10,-16,16,0,16,20,-16,20,20,10
324,2059974881,10,-16,16,0,16,20,-16,20,20,20
325,2059975225,10,-16,16,10,16,0,-16,0,0,0
